time[s];Vsg[mV];pH/ion concentration [mM]
3075.02;2338.30;-3.320
3080.00;2339.20;-3.340
3085.59;2338.63;-3.328
3090.58;2338.68;-3.332
3095.56;2339.27;-3.338
3100.55;2338.89;-3.338
3105.54;2338.79;-3.332
3110.52;2338.64;-3.330
3115.51;2338.64;-3.330
3120.49;2338.84;-3.330
3125.48;2338.49;-3.330
3130.47;2338.82;-3.332
3135.45;2338.56;-3.330
3140.44;2338.74;-3.330
3145.43;2338.83;-3.330
3150.41;2338.57;-3.330
3155.40;2338.56;-3.330
3160.38;2338.24;-3.322
3165.37;2338.53;-3.332
3170.35;2338.58;-3.330
3175.34;2338.51;-3.330
3180.33;2338.64;-3.330
3185.31;2338.55;-3.330
3190.30;2338.48;-3.330
3195.29;2338.35;-3.330
3200.27;2338.41;-3.330
3205.26;2337.90;-3.322
3210.24;2338.40;-3.330
3215.23;2338.51;-3.330
3220.22;2338.50;-3.330
3225.20;2338.43;-3.330
3230.19;2338.57;-3.330
3235.18;2338.60;-3.330
3240.16;2338.36;-3.322
3245.15;2338.30;-3.320
3250.14;2338.56;-3.330
3255.12;2338.63;-3.330
3260.11;2338.44;-3.330
3265.09;2338.33;-3.322
3270.08;2338.54;-3.330
3275.07;2338.30;-3.320
3280.05;2338.21;-3.322
3285.04;2338.36;-3.330
3290.02;2338.27;-3.322
3295.01;2338.26;-3.320
3300.28;2338.20;-3.320
3305.27;2338.30;-3.320
3310.25;2338.15;-3.320
3315.24;2338.10;-3.320
3320.23;2338.30;-3.320
3325.21;2338.40;-3.330
3330.20;2338.35;-3.330
3335.18;2338.30;-3.320
3340.17;2338.30;-3.320
3345.16;2338.30;-3.320
3350.14;2338.20;-3.320
3355.08;2338.30;-3.330
3360.01;2338.23;-3.322
3365.27;2338.25;-3.320
3370.26;2338.40;-3.330
3375.24;2338.30;-3.330
3380.23;2338.35;-3.330
3385.22;2338.45;-3.330
3390.20;2338.40;-3.330
3395.19;2338.40;-3.330
3400.18;2338.35;-3.330
3405.16;2338.50;-3.330
3410.15;2338.55;-3.330
3415.14;2338.20;-3.320
3420.12;2338.35;-3.330
3425.11;2338.45;-3.330
3430.09;2338.55;-3.330
3435.08;2338.35;-3.330
3440.07;2338.40;-3.330
3445.05;2338.50;-3.330
3450.04;2338.45;-3.330
3455.03;2338.40;-3.330
3460.01;2338.45;-3.330
3465.60;2338.44;-3.330
3470.59;2338.61;-3.330
3475.57;2338.51;-3.330
3480.56;2338.70;-3.330
3485.54;2338.59;-3.330
3490.53;2338.68;-3.330
3495.52;2338.59;-3.330
3500.50;2338.63;-3.330
3505.49;2338.68;-3.330
3510.48;2338.59;-3.330
3515.46;2338.57;-3.330
3520.45;2338.68;-3.330
3525.43;2338.59;-3.330
3530.42;2338.50;-3.330
3535.41;2338.65;-3.330
3540.39;2338.56;-3.330
3545.38;2338.50;-3.330
3550.37;2338.57;-3.330
3555.35;2338.51;-3.330
3560.34;2338.63;-3.330
3565.32;2338.67;-3.330
3570.31;2338.64;-3.330
3575.30;2338.58;-3.330
3580.28;2338.52;-3.330
3585.27;2338.79;-3.336
3590.25;2338.66;-3.330
3595.24;2338.54;-3.330
3600.23;2338.56;-3.330
3605.21;2338.60;-3.330
3610.20;2338.58;-3.330
3615.19;2338.56;-3.330
3620.17;2338.45;-3.332
3625.10;2338.51;-3.330
3630.09;2338.65;-3.330
3635.08;2338.65;-3.330
3640.06;2338.68;-3.330
3645.05;2338.74;-3.330
3650.03;2338.78;-3.330
3655.02;2338.72;-3.330
3660.01;2338.70;-3.330
3665.27;2338.70;-3.330
3670.26;2338.75;-3.330
3675.25;2338.55;-3.330
3680.24;2338.60;-3.330
3685.22;2338.80;-3.330
3690.21;2338.60;-3.330
3695.20;2338.70;-3.330
3700.18;2338.35;-3.330
3705.17;2339.05;-3.340
3710.15;2338.80;-3.330
3715.14;2338.35;-3.330
3720.13;2338.65;-3.330
3725.11;2338.85;-3.340
3730.10;2338.75;-3.330
3735.08;2338.65;-3.330
3740.07;2338.85;-3.340
3745.00;2338.85;-3.340
3750.27;2248.80;-1.760
3755.25;2339.05;-3.340
3760.24;2334.90;-3.270
3765.23;2322.30;-3.050
3770.22;2334.65;-3.260
3775.20;2336.25;-3.290
3780.19;2334.00;-3.250
3785.18;2335.85;-3.280
3790.13;2336.35;-3.290
3795.09;2337.05;-3.300
3800.04;2336.85;-3.300
3805.00;2337.25;-3.310
