time[s];Vsg[mV];pH/ion concentration [mM]
3225.05;2336.67;-3.294
3230.04;2336.77;-3.300
3235.02;2336.75;-3.300
3240.24;2336.50;-3.290
3245.22;2336.65;-3.290
3250.21;2336.60;-3.290
3255.17;2336.70;-3.300
3260.12;2336.80;-3.300
3265.11;2337.45;-3.310
3270.09;2335.70;-3.280
3275.08;2336.40;-3.290
3280.06;2335.80;-3.280
3285.05;2336.65;-3.290
3290.03;2336.45;-3.290
3295.19;2325.35;-3.100
3300.18;2331.75;-3.210
3305.16;2334.75;-3.260
3310.15;2336.90;-3.300
3315.14;2336.65;-3.290
3320.12;2337.50;-3.310
3325.11;2337.90;-3.320
3330.09;2338.10;-3.320
3335.08;2338.75;-3.330
3340.07;2338.55;-3.330
3345.01;2338.50;-3.330
3350.58;2338.66;-3.330
3355.57;2337.78;-3.318
3360.55;2337.26;-3.310
3365.54;2337.35;-3.310
3370.52;2337.44;-3.310
3375.51;2337.28;-3.308
3380.49;2337.36;-3.310
3385.48;2337.34;-3.310
3390.47;2337.31;-3.308
3395.45;2337.48;-3.310
3400.44;2337.49;-3.310
3405.42;2337.59;-3.310
3410.41;2337.28;-3.310
3415.39;2337.55;-3.310
3420.38;2337.38;-3.308
3425.36;2337.40;-3.310
3430.35;2337.65;-3.310
3435.34;2337.38;-3.310
3440.32;2337.51;-3.310
3445.31;2337.15;-3.300
3450.29;2337.27;-3.308
3455.28;2337.44;-3.308
3460.26;2337.51;-3.308
3465.25;2337.32;-3.308
3470.24;2337.29;-3.308
3475.22;2337.19;-3.300
3480.21;2337.06;-3.300
3485.19;2337.28;-3.308
3490.18;2337.42;-3.310
3495.16;2337.32;-3.308
3500.15;2337.11;-3.300
3505.13;2337.11;-3.300
3510.12;2337.30;-3.310
3515.10;2337.20;-3.300
3520.09;2336.71;-3.292
3525.07;2337.16;-3.300
3530.31;2337.15;-3.300
3535.27;2337.15;-3.300
3540.26;2337.00;-3.300
3545.24;2337.05;-3.300
3550.23;2336.85;-3.300
3555.21;2337.00;-3.300
3560.20;2337.05;-3.300
3565.19;2336.95;-3.300
3570.17;2336.95;-3.300
3575.15;2337.05;-3.300
3580.10;2336.91;-3.300
3585.07;2338.88;-3.330
3590.05;2335.82;-3.282
3595.28;2336.70;-3.300
3600.25;2335.55;-3.280
3605.24;2327.05;-3.130
3610.22;2328.45;-3.150
3615.21;2334.00;-3.250
3620.15;2334.60;-3.260
3625.12;2335.25;-3.270
3630.10;2332.30;-3.220
3635.09;2334.85;-3.260
3640.08;2336.40;-3.290
3645.06;2337.80;-3.320
3650.28;2337.85;-3.320
3655.26;2338.05;-3.320
3660.25;2338.35;-3.320
3665.23;2338.65;-3.330
3670.22;2338.55;-3.330
3675.21;2338.85;-3.330
3680.17;2338.95;-3.340
3685.12;2338.70;-3.330
3690.11;2337.90;-3.320
3695.09;2337.80;-3.320
3700.08;2337.55;-3.310
3705.06;2337.40;-3.310
3710.59;2337.33;-3.310
3715.52;2337.40;-3.310
3720.14;2337.20;-3.300
3725.12;2337.30;-3.310
3730.10;2337.20;-3.300
3735.09;2337.20;-3.300
3740.07;2337.20;-3.300
3745.06;2337.30;-3.310
3750.04;2337.35;-3.310
3755.03;2337.20;-3.300
3760.01;2337.10;-3.300
3765.60;2337.25;-3.310
3770.56;2336.99;-3.300
3775.52;2337.36;-3.308
3780.45;2337.16;-3.304
3785.38;2337.13;-3.300
